"","ent","year","migr","equal_marriage","from_equal","from_non_equal","unempl","income","lgbt","discrim","dm_migr","dm_unemp","dm_income","Estado","Vivienda"
"1",1,2017,0.00677259703047669,0,6,18,0.551524112829845,5825.75803778588,0.195324283559578,0.0424710424710425,0.00158056614574658,0.00177375225534582,0.00177375225534582,"Aguascalientes",97.12
"2",1,2017,0.00677259703047669,0,6,18,0.551524112829845,5825.75803778588,0.195324283559578,0.0424710424710425,0.00158056614574658,0.00177375225534582,0.00177375225534582,"Aguascalientes",105.15
"3",1,2017,0.00677259703047669,0,6,18,0.551524112829845,5825.75803778588,0.195324283559578,0.0424710424710425,0.00158056614574658,0.00177375225534582,0.00177375225534582,"Aguascalientes",113.48
"4",1,2017,0.00677259703047669,0,6,18,0.551524112829845,5825.75803778588,0.195324283559578,0.0424710424710425,0.00158056614574658,0.00177375225534582,0.00177375225534582,"Aguascalientes",122.45
"5",1,2017,0.00677259703047669,0,6,18,0.551524112829845,5825.75803778588,0.195324283559578,0.0424710424710425,0.00158056614574658,0.00177375225534582,0.00177375225534582,"Aguascalientes",130.32
"6",1,2017,0.00677259703047669,0,6,18,0.551524112829845,5825.75803778588,0.195324283559578,0.0424710424710425,0.00158056614574658,0.00177375225534582,0.00177375225534582,"Aguascalientes",138.03
"7",1,2018,0.00509554140127389,0,2,17,0.552318939913183,5951.62231903485,0.195324283559578,0.0424710424710425,-9.64894834562247e-05,0.00256857933868315,0.00256857933868315,"Aguascalientes",97.12
"8",1,2018,0.00509554140127389,0,2,17,0.552318939913183,5951.62231903485,0.195324283559578,0.0424710424710425,-9.64894834562247e-05,0.00256857933868315,0.00256857933868315,"Aguascalientes",105.15
"9",1,2018,0.00509554140127389,0,2,17,0.552318939913183,5951.62231903485,0.195324283559578,0.0424710424710425,-9.64894834562247e-05,0.00256857933868315,0.00256857933868315,"Aguascalientes",113.48
"10",1,2018,0.00509554140127389,0,2,17,0.552318939913183,5951.62231903485,0.195324283559578,0.0424710424710425,-9.64894834562247e-05,0.00256857933868315,0.00256857933868315,"Aguascalientes",122.45
"11",1,2018,0.00509554140127389,0,2,17,0.552318939913183,5951.62231903485,0.195324283559578,0.0424710424710425,-9.64894834562247e-05,0.00256857933868315,0.00256857933868315,"Aguascalientes",130.32
"12",1,2018,0.00509554140127389,0,2,17,0.552318939913183,5951.62231903485,0.195324283559578,0.0424710424710425,-9.64894834562247e-05,0.00256857933868315,0.00256857933868315,"Aguascalientes",138.03
"13",1,2019,0.00361197110423117,0,4,9,0.554852077817428,6341.86625245258,0.195324283559578,0.0424710424710425,-0.00158005978049894,0.00510171724292885,0.00510171724292885,"Aguascalientes",97.12
"14",1,2019,0.00361197110423117,0,4,9,0.554852077817428,6341.86625245258,0.195324283559578,0.0424710424710425,-0.00158005978049894,0.00510171724292885,0.00510171724292885,"Aguascalientes",105.15
"15",1,2019,0.00361197110423117,0,4,9,0.554852077817428,6341.86625245258,0.195324283559578,0.0424710424710425,-0.00158005978049894,0.00510171724292885,0.00510171724292885,"Aguascalientes",113.48
"16",1,2019,0.00361197110423117,0,4,9,0.554852077817428,6341.86625245258,0.195324283559578,0.0424710424710425,-0.00158005978049894,0.00510171724292885,0.00510171724292885,"Aguascalientes",122.45
